,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.0024823754355153445,0.003317139775761173,-0.7483481563407204,0.4542501847310796,-0.008983849927692515,0.004019099056661825
C(block)[T.2],0.0002786280272760368,0.0047369420377122865,0.058820231503318256,0.9530952939493539,-0.009005607763493819,0.009562863818045893
C(block)[T.3],0.005217508141617732,0.0051535646063953,1.0124076324071076,0.3113431905370809,-0.004883292878917395,0.01531830916215286
C(block)[T.4],-0.0021081634629918655,0.005391995507145514,-0.39098019651502136,0.6958118739907362,-0.012676280461798856,0.008459953535815126
C(block)[T.5],-0.002920959159857439,0.005788159768018301,-0.5046438379252774,0.613809013799413,-0.014265543841937024,0.008423625522222146
C(block)[T.6],0.0028351150313783214,0.006477254206323968,0.43770322131410255,0.661601434045163,-0.00986006993172723,0.015530299994483871
C(block)[T.7],-0.0051875595297166165,0.007478339811129897,-0.6936779633891539,0.4878841887050762,-0.019844836223683285,0.009469717164250054
C(block)[T.8],-0.000515883071358544,0.008407794572648909,-0.061357715974263274,0.9510743266412703,-0.01699485762316174,0.015963091480444655
C(block)[T.9],-0.0005621614581304462,0.010186658007686119,-0.055186053925269665,0.9559902393593838,-0.02052764427602178,0.01940332135976089
C(block)[T.10],-0.005692468345840626,0.014731633927000106,-0.3864112001457953,0.6991921565517252,-0.0345659402761892,0.023181003584507944
received,0.007609452070562742,0.002270232341345277,3.351838458108473,0.0008027684587857883,0.0031598784449879567,0.012059025696137527
baseline_activity,-0.002099429023152468,0.0025143574155029108,-0.8349763681996457,0.40373101417245205,-0.007027479001799385,0.002828620955494449
pre_metric,0.002108844781057844,0.002130737486019776,0.9897252922494797,0.32230840912705205,-0.0020673239520503334,0.006285013514166021
days_active,0.025781532566697633,0.0006302060080645227,40.90969022316593,0.0,0.02454635148805041,0.027016713645344855
retained_any,-0.0033749502517876014,0.0029221402125557934,-1.1549583545944109,0.24810748091831936,-0.009102239826173175,0.0023523393225979715
