,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.006788468851664383,0.0030576030557889346,-2.2201929837857244,0.02640567038643899,-0.012781260720030309,-0.0007956769832984578
C(block)[T.2],-0.0004145438467044604,0.004350998027711914,-0.0952755767904724,0.9240959412894958,-0.00894234327782462,0.0081132555844157
C(block)[T.3],0.003572170271827734,0.004711609538796243,0.7581634773454462,0.4483531226135905,-0.0056624147334282775,0.012806755277083744
C(block)[T.4],-0.0027750256006839327,0.005034766697735282,-0.5511726296934837,0.5815153407726749,-0.012642986998806748,0.007092935797438881
C(block)[T.5],-0.003593374266076862,0.0054119274902570905,-0.6639730987796661,0.5067075288429607,-0.014200557233923003,0.00701380870176928
C(block)[T.6],-0.00013387765896399027,0.006048280980113264,-0.022134827962553286,0.9823404045793469,-0.011988290548364606,0.011720535230436625
C(block)[T.7],-0.007317041337285077,0.007024520854634635,-1.0416427666318968,0.29757733306913103,-0.021084849221019483,0.006450766546449328
C(block)[T.8],-0.003039996985287164,0.007954277780665386,-0.3821839102321197,0.7023249554217479,-0.01863009495841851,0.012550100987844183
C(block)[T.9],-0.0034401491942055223,0.009762027133081896,-0.3524011096575859,0.7245374699095485,-0.022573370791148836,0.01569307240273779
C(block)[T.10],-0.010762810034751859,0.014005138437899106,-0.7684900854408387,0.4421960786896477,-0.03821237697153166,0.016686756902027942
treat,0.013549618860488482,0.0018887038331676142,7.174030476638532,7.282138833021147e-13,0.009847827370017211,0.017251410350959753
baseline_activity,-0.00031814222637117153,0.002338729772658556,-0.13603205897940174,0.8917959371227195,-0.00490196835035349,0.004265683897611147
pre_metric,0.0010410987975648545,0.00195942116645042,0.5313297699293776,0.5951902792568291,-0.002799296119223431,0.004881493714353141
days_active,0.022731116723286572,0.0005717489846934915,39.75716150238986,0.0,0.021610509305089984,0.02385172414148316
retained_any,0.003908246657429308,0.0027103604961941177,1.4419656215168644,0.14931207221935536,-0.001403962300231273,0.009220455615089888
